plate_num,temperature_deg_c,time_h,scale_mol,stirring_shaking,concentration_mol_l,startingmat_1_name,startingmat_1_eq,startingmat_2_name,startingmat_2_eq,reagent_1_cas,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_cas,catalyst_name,catalyst_smiles,catalyst_eq,ligand_cas,ligand_name,ligand_eq,solvent_1_cas,solvent_1_name,solvent_1_smiles,solvent_1_fraction,solvent_2_cas,solvent_2_name,solvent_2_smiles,solvent_2_fraction,product_1_area%,selectivity_area%
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,1160556-64-8,CPhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,40438-64-0,CyAmPhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,213697-53-1,DavePhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,2118959-55-8,EPhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,224311-51-7,JohnPhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,855-38-9,P(4-OMe-C6H4)3,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,603-35-0,PPh3,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,787618-22-8,RuPhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,657408-07-6,SPhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,224311-49-3,tBuDavePhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
